St. Alphonsa Church , Alphonsanagar
St. Jude Town Church , Adimali
St. Joseph Church , Anakulam
St. George Church , Anachal
St. Thomas Church , Ayiramekkar
St. Jacob Church , Bethel
St. Sebastian Church , Bhoomiyamkulam
St. Antonys Church , Bisonvalley
St. George Church , Calvarymount
BVM of Assumption Church , Chelliampara
St. Joseph Church , Chembalam
St. Xavier Church , Chemmannar
St. Peter Church , Chempakapara
St. Thomas , Chinnarnirappu
Vijayamatha Church , Eattithope
St. Antony Church , Ellakal
BVM Per. Help , Ezhukumvayal
St. George Church , Georgiar
St. George Church , Idukki
St. Antony Church , Irumpupalam
St. Joseph Church , Josegiri
St. Joseph Church , Josepuram
St. Joseph Church , Kailasam
St. Joseph Church , Kallar
St. Joseph Church , Kallarkutty
St. Marys Church , Kallupalam
St. Antony Church , Kamakshy
St. Jude Church , Kanakakkunnu
Lourde Matha Church , Kanchiyar
St. Mary Church , Kanjikuzhy
St. Sebastian Church , Kanthippara
St. Marys Church , Karimpan
St. Marys Church , Karithodu
St. George Church , Kattakala (Georgepuram)
Nithya Sahaya Matha Church , Keerithodu
Holy Family Church , Kiliyarkandam
Infant Jesus Church , Kombayar
BVM Church , Korandakad
St. Joseph Church , Kozhimala
Holy Cross , Kurisupara
St. Joseph Church , kuthupara
St. Francis Assisi Church , Machiplavu
Velamkanni Matha Church , Mailadumpara
St. Mary Church , Maniyaramkudy
Christ the king Church , Manjappara
St. Marys Church , Manjappety
St. Thomas Church , Mankuva
BVM Im. Con Church , Mariyapuram
St. Marys Church , Maryland
St. Thomas Church , Mavady
St. Sebastian Church , Mukkudam
St. Martin de Pores , Mulakaramedu
St. Joseph Church , Mulakuvally
St. Michael , Munnar
St Maria Goretti Church , Murickumthotty
St. George , Muttukad
St. George Church , Nankuthotty
St. Joseph Church , Narakakanam
Holy Family church , Nazarathu Valley
St. Marys Church , Neelivayal
St. Xavier Church , Nellippara
St. Joseph Church , Pachady
St. George Church , Palar
St. Joseph Church , Panamkutty
St. Joseph Church , Pandippara
St. John Maria Vianney Church , Panickankudy
BVM Assum Church , Panniyarkutty
St. Sebastian Church , Pazhayarikandam
St. Marys Church , Perinchamkutty
St. Joseph Church , Pezhumkandam
BVM Purif. Church , Ponmudy
St. Marys Church , Ponnamala
St. Sebastian Church , Pottenkad
BVM Nativity Church , Rajakumary
Christ the King , Rajamudy
Christ the king Church , Rajapuram
St. Marys Church , Sahayagiri
St. Joseph Church , Santhigram
St. Benedict Church , Sleevamala
St. Sebastian Church , Snehagiri
St. Marys Church , Thannikandam
St George church , Thattekanni
St. Sebastian Church , Thokkupara
St. Antony Church , Thookkupalam
St. Maria Gorethi Church , Thopramkudy
Infant Jesus , Thovarayar
St. Joseph Church , Upputhodu
Infant Jesus Church , Vattappara
St. Marys Church , Vazhavara
St George church , Venmony
Vimala Matha Church , Vimalagiri
St Mary Church , Udayagiri
