id,name
1,Govt. Job (Officer)
2,Teacher
3,Business
4,Agriculture
5,Coolie
6,Driver
7,Doctor (Govt.)
8,Doctor (Private)
9,House Wife
10,Engineer (Govt)
11,Engineer (Private)
12,Not In List
13,Bank Employee
14,Rtd. Engineer
15,Ex-service
16,Private Employee
17,Late
18,Nurse
19,Rtd. Govt Employee
20,Electrician
21,Blacksmith
22,Staff Nurse
23,Co-operative Employee
24,Security Power House
25,Tapping
26,Expired
27,Lawer
28,Lawyer
29,LIC Agent
30,K S R T C
31,Aided
32,Tailor
33,Painting
34,B S N L
35,Photo Grapher
36,Rtd. Teacher
37,Rtd. Teacher
38,NRI
39,Retd
40,Plumbing
41,Postal Dept.
42,Mechanic
43,Sales Girl
44,Conductor
45,Headmaster
46,Insurance
47,Advacate
48,Journalist
49,Moulavi
50,Workshop
51,Police
52,Govt. Job
53,Exservice
54,Artist
55,Typist
56,Carpenter
57,Farmer
58,Pune
59,Peon
60,Poojari
61,Gold Smith
62,Mason
63,Driver Ksrtc
64,Pharmasist
65,Day Labour
66,Director
67,Lab Technician
68,B S N L Contractor
69,Butcher
70,Assistant Engineer
71,Factory Supervisor
72,Planter
73,Priest
74,Barber
75,Retd Teacher
76,Clerk
77,Printing
78,Auditor
79,Factory Worker
80,Sales Man
81,Railway Mechanic
82,Post Master
83,Govt. Servent
84,Polishing
85,Medical Rep.
86,Employee
87,Ex Service
88,Telephone Lineman
89,Health Inspector
90,Panchayat Secretary
91,Naval Base
92,Accoutant
93,Forest Dept
94,Deputy Thahasildar
95,Village Officer
96,Document Writer
97,Mohanan Nair
98,Labour
99,Cochin Port Trust
101,Rtd. Govt
102,Dysp
103,Dd
104,Excise
105,Sweeper
106,Accountant
107,Foreman
108,Manager
109,Semi Govt. Job
110,Supervisor
111,Media Worker
112,Hotel Work
113,Maison
114,Bsnl Employee
115,Adc
116,Lab Asst.
117,Development Officer
118,Anganvadi
119,Contractor
120,Prerak
121,Construction Worker
122,Advertisor
123,Pensioner
124,Medical Office
125,S R T O O A
126,Died
127,Watcher
128,Principal
129,Central Govt. Employee
130,Company Employee
131,Loading
132,Station Master
133,Postman
134,K S C B Employee
135,Paster
136,Railway
137,K S E B Job
138,Retd Professor
139,Lecturer
140,R D Agent
141,S I
142,Radiographer
143,Lbour
144,Auto Driver
145,Fabricator
146,Fireman
147,Pvt. Employee
148,Lic Chief Adviser
149,Govt. Emblotee
150,Sacristin
151,Toddy Labour
152,Daily Wages
153,Wage
154,Teaching
155,Anganvady Workers
156,Central Got. Employee
157,Hotel Work
158,Techer
159,Office Clerk
160,Sarada Gopi
161,Buissnes
162,Agricultural Survere
163,Estate Labour
164,Rtd Bsnl Employee
165,Rtdblok Office Employee
166,Shop
167,Uk
168,Eletrical Work
169,Jphn
170,Crpenter
171,Painter
172,Plumber
173,Head Constable
174,Ustad -madrasxa Teacher
175,Govt Employeld Smith
176,Karate Master
177,Ahou
178,Rtd Scdo
179,Agrricultural Survere
180,House Wife
181,Supervior
182,Librarian
183,Asha Worker
184,Health Supervisor
185,Kseb Staff
186,Security Bank
187,Nreg Worker
188,Estae Labour
189,Sleeper
190,Chou
191,Adcate
192,Advocate
193,Machanic
194,Imam
195,Euorope
196,Rtd H M
197,Housewife
198,Sub Inspector Of Police
199,H M
200,Sales Man
201,Press
202,Janatha Books
203,K S R T C Employee
204,Sel
205,Civil Police Officer
206,Cini Artist
207,Gas Supplier
208,Palm Tapper
209,Mesan
210,Tailoring
211,Driver Nri
212,Home Nurse
213,Karpenter
214,Cooliechin Port Trust
215,Home Nurse
216,Farmar
217,Home Nurse
218,Thomas
219,Nursing Asst.
220,Consultant(Edu. )
221,Meson
222,P W D Employee
223,Buetion
224,Furniture Work
225,Tehnision
226,Bus Canductor
227,Menial Ft
228,Maisam
229,Agriricultural Survere
230,Ksfe
231,Govt Servent
232,Dental Technican
233,Helth Supervisor
234,Agi
235,Collection Agent
236,Cook
237,Coolie
238,Politician
239,Dobi
240,Dobby
241,Welder
242,Hotel Manager
243,Instractor Engg
244,Noon Feeding
245,Teacher Sulaikhi
246,Retired H O
247,Icd Suppervisor
248,Rtd Labour Officer
249,Postal Employe
250,Suffuring From Accident
251,Madrasa Teacher
252,Nagarjuna Staff
253,National Insurance
254,Kapyar
255,Merchant
