name,parish,diocese
St. Antony's Church,Achinakom,6
Sacred Heart Church,Aimury,6
St. Antony's Church,Airoor,6
Ss. Gervasis & Protasis Church,Akaparambu,6
St. Mary's Church,Alangad,6
St. Mary's Church,Albuthapuram,6
St. Dominic's Church,Aluva,6
St. Joseph's Church,Amalapuram,6
Sacred Heart Church,Amalapuri,6
St. Jude's Church,Ambalamedu,6
Christ The King Church,Ambalamughal,6
St. Francis Assisi Church,Amballoor,6
St. Sebastian's Church,Ambunadu,6
Our Lady of Fathima Church,Anappara,6
St. Hormis Church,Angamaly East,6
St. Sebastian's Church,Annanad,6
St. Antony's Church,Antopuram,6
St. Joseph's Church,Appangad,6
St. Joseph's Church,Arakkunnam,6
St. Sebastian's Church,Asokapuram,6
St. Francis Assisi Church,Athani,6
St. Joseph's Church,Attapadam,6
St. Alphonsa Church,Attara,6
Our Lady of Perpetual Succor Church,Ayathupady,6
St. Mary's Church,Ayyampuzha,6
St. Joseph's Church,Besleham,6
St. Joseph's Church,Cable Nagar,6
St. George Church,Calvary (Munnoorpilly),6
Blessed Sacrament Church,Cardinal Nagar,6
St. Mary's Church,Carmelgiri (Moonamparambu),6
St. Rose Church,Chakkarakadavu,6
St. George Church,Chakkaraparambu,6
Sacred Heart church,Chalil,6
St. Sebastian's Church,Champannoor North,6
St. Rita's Church,Champannoor South,6
St. Mary's Church,Chandiroor,6
Fatima Matha Church,Changampuzha Nagar,6
Mother of Perpetual Succour Church,Chathamma,6
St. Sebastian's Church,Chelamattam,6
St. Antony's Church,Chemmanathukara,6
St. Thomas Church,Chempu,6
Holy Cross Church,Chendamangalam,6
St. Antony's Church,Chengamanad,6
St. Sebastian's Church,Cherai,6
St. Francis Xavier Church,Cheranalloor East,6
Fathima Matha Church,Cherukadapuram,6
Little Flower Church,Cherupushpalayam,6
Mary Immaculate Church,Chethicode,6
St. Jude's Church,Chittanadu,6
St. Thomas Church,Chittoor,6
St. Pius X Church,Choondy,6
St. Mary's Church,Chowara,6
St. George Church,Chully,6
St. Joseph's Church,Chunangamvely,6
St. Sebastian's Church,Devagiri,6
St. Antony's Church,Edakkunnu,6
St. Mary's Church,Edanad,6
St. Sebastian's Church,Edavoor,6
St. Mary's Church,Edayazham East,6
St. Joseph's Church,Edayazham West,6
St. Antony's Church,Elamakkara (Thanickal),6
Little Flower Church,Elamkulam,6
St. Mary's Church,Elavoor,6
St. Antony's Church,Elavoor (Kunnel),6
St. Anne's Curch,Eloor,6
St. Joseph's Church,Eramalloor,6
St. Thomas Church,Ezhattumugham,6
St. Mary's Assumption Church,Ezhikkara,6
St. Raphael Church,Ezhupunna,6
Little Flower Church,Flower Mount,6
Little Flower Church,Fort Kochi,6
