name,agu,district,code
"NEW INDIAN HIGHER SECONDARY SCHOOL,RAS AL KHAIMAH",U,15,15001
"THE ENGLISH SCHOOL, UM-AL-QUWAIN, U.A.E.",U,15,15002
"NEW INDIAN MODEL HSS, DUBAI, U.A.E.",U,15,15004
"THE MODEL SCHOOL, ABUDHABI, U.A.E.",U,15,15005
"INDIAN SCHOOL, FUJAIRAH, U.A.E.",U,15,15006
"THE GULF MODEL SCHOOL, DUBAI, U.A.E",U,15,15007
"NEW INDIAN MODEL HSS, SHARJAH, U.A.E.",U,15,15008
"MES INDIAN HSS, DOHA, QUATAR",U,15,15009
"THE INDIAN SCHOOL, DARSAIT, OMAN",U,15,15010
"NEW INDIAN MODEL HSS, AL-AIN, UAE",U,15,15011
"GOVT. SENIOR SECONDARY SCHOOL, MINICOY, LAKSHADWEEP",U,16,16001
"GOVT. JN SENIOR SECONDARY SCHOOL, KADAMATH, LAKSHADWEEP",U,16,16002
"MG SENIOR SECONDARY SCHOOL, ANDROTH, LAKSHADWEEP",U,16,16003
"GOVT. SENIOR SECONDARY SCHOOL, KAVARATHI, LAKSHADW",U,16,16004
"GOVT. SENIOR SECONDARY SCHOOL, KALPENI, LAKSHADWEE",U,16,16005
"GOVT. SENIOR HSS, AMINI, LAKSHADWEEP",U,16,16006
"GOVT. SENIOR SECONDARY SCHOOL, AGATTI ISLAND, LAKS",U,16,16007
"GOVT. SENIOR SENIOR SECONDARY SCHOOL, KILTAN",G,16,16008
"GOVT. SENIOR SECONDARY SCHOOL, CHETLAT, LAKSHADWEEP",U,16,16009
"GOVT HSS, PANDAKKAL, MAHE",U,17,17001
"JAWAHARLAL NEHRU GOVT. HSS, MAHE",U,17,17002
"GOVT. HIGHER SECONDARY SCHOOL, MAHE",U,17,17003
"GOVT HSS PALLOUR, MAHE, NADUTHARA P.O.",U,17,17004
