name,agu,district,code
"GOVT MODEL BOYS HSS, ATTINGAL",G,1,1001
"GOVT. GIRLS HSS, COTTONHILL, TRIVANDRUM",G,1,1002
"GOVT. V.H.S.S  FOR THE DEAF, JAGATHY, TRIVANDRUM",G,1,1003
"DR AMMR HSS ,KATTELA, SREEKARIAM P.O,  TRIVANDRUM",G,1,1004
"GOVT HSS, KILIMANOOR, TRIVANDRUM",G,1,1005
"GOVT. V & GIRLS HSS, MANACAUD, TRIVANDRUM",G,1,1006
"GOVT. HSS, MEDICAL COLLEGE, TRIVANDRUM",G,1,1007
"GOVT. BOYS HSS, MITHIRMALA, TRIVANDRUM",G,1,1008
"GOVT GIRLS HSS, NEDUMANGAD, TRIVANDRUM",G,1,1009
"GOVT. HSS, NEDUVELI, VENJARAMOOD, TRIVANDRUM",G,1,1010
"GOVT. GIRLS HSS, NEYYATTINKARA, TRIVANDRUM",G,1,1011
"GOVT HSS, PAKALKURI, PALLICKAL,TRIVANDRUM",G,1,1012
"GOVT. HSS, PALAYAMKUNNU, TRIVANDRUM",G,1,1013
"GOVT. HSS, PIRAPPANCODE, TRIVANDRUM",G,1,1014
"GOVT. BOYS HSS, PETTAH, TRIVANDRUM",G,1,1015
"S.M.V. GOVT.MODEL HSS, TRIVANDRUM",G,1,1016
"GOVT. HSS,VETTOOR, TRIVANDRUM",G,1,1017
"GOVT. HSS, KULATHOOR, TRIVANDRUM",G,1,1018
"GOVT. GIRLS HSS, MITHIRMALA, TRIVANDRUM",G,1,1019
"GOVT. HSS, THOLIKODE, TRIVANDRUM",G,1,1020
"GOVT. MODEL GIRLS HSS, PATTOM, TRIVANDRUM",G,1,1021
"GOVT. HSS, KAMALESWARAM, TRIVANDRUM",G,1,1022
"GOVT.  MODEL BOYS HSS, THYCAUD, TRIVANDRUM",G,1,1023
"GOVT. HSS,  VENJARAMOODU, TRIVANDRUM",G,1,1024
"GOVT. HSS, BALARAMAPURAM, TRIVANDRUM",G,1,1025
"GOVT. BHSS, NEYYATTINKARA, TRIVANDRUM",G,1,1026
"GOVT. HSS, ANAVOOR, TRIVANDRUM",G,1,1027
"GOVT MODEL HSS, VARKALA TRIVANDRUM",G,1,1028
"PNM GOVT. HSS,KOONTHALLUR, CHIRAYINKEEZHU, TRIVAND",G,1,1029
"GOVT GIRLS HSS, ATTINGAL, TRIVANDRUM",G,1,1030
"GOVT HSS, NAVAIKULAM, TRIVANDRUM",G,1,1031
"GOVT.HSS, BHARATHANNUR, TRIVANDRUM",G,1,1032
"GOVT VHSS, KARAKULAM, TRIVANDRUM",G,1,1033
"GOVT HSS, THONNAKKAL, TRIVANDRUM",G,1,1034
"PSNPM GOVT HSS, PEROORKADA, TRIVANDRUM",G,1,1035
"GOVT GIRLS HSS, KARAMANA, TRIVANDRUM",G,1,1036
"GOVT GIRLS HSS, MALAYINKIL, TRIVANDRUM",G,1,1037
"GOVT HSS, PUNNAMOODU,TRIVANDRUM",G,1,1038
"GOVT HSS, NEEYYARDAM, TRIVANDRUM",G,1,1039
"KULATHUMMAL GOVT HSS, KATTAKKADA, TRIVANDRUM",G,1,1040
"GOVT MODEL BOYS HSS, CHALAI, TRIVANDRUM",G,1,1041
"GOVT VHSS, VELLANAD, TRIVANDRUM",G,1,1042
"GOVT HSS, MARAYAMUTTAM, TRIVANDRUM",G,1,1043
"GOVT TAMIL HSS, CHALAI,TRIVANDRUM",G,1,1044
"GOVT VHSS, KULATHOOR,UCHAKKADA, TRIVANDRUM",G,1,1045
"NKM GIRLS HSS, DHANUVACHAPURAM, TRIVANDRUM",G,1,1046
"CONCORDIA LUTHERAN HSS, PEROORKADA, TRIVANDRUM",A,1,1047
"S.S.V HSS, CHIRAYINKIL, TRIVANDRUM",A,1,1048
"LEO XIII HSS, PULLUVILA, TRIVANDRUM",A,1,1049
"SIVAGIRI HSS, VARKALA, TRIVNDRUM",A,1,1050
"ST.JOSEPH'S  HSS,  ANCHENGO, TRIVANDRUM",A,1,1051
"R.R.V.GIRLS HSS, KILLIMANOOR, TRIVANDRUM",A,1,1052
"JANATHA HSS, THEMBAMOOD, TRIVANDRUM",A,1,1053
"M.V HSS, THUNDATHIL, TRIVANDRUM",A,1,1054
"PALLITHURA HSS, PALLITHURA, TRIVANDRUM",A,1,1055
"ST.ANTONY'S HSS, VALIATHURA, TRIVANDRUM",A,1,1056
"ST. MARY'S HSS, VETTUKAD, TRIVANDRUM",A,1,1057
"R.K.D.N.S.S  HSS, SASTHAMANGALAM, TRIVANDRUM",A,1,1058
"ST.JOSEPH'S HSS, TRIVANDRUM",A,1,1059
"L.M.S BOYS HSS, AMARAVILA, TRIVANDRUM",A,1,1060
"M.V. HSS, ARUMANOOR, TRIVANDRUM",A,1,1061
"GIRLS HSS, VENGANOOR, TRIVANDRUM",A,1,1062
"V.P.S. BOYS HSS, VENGANOOR, TRIVANDRUM",A,1,1063
"UNDENCODE ST JOHN'S HSS, CHERIYAKOLLA, TRIVANDRUM",A,1,1064
"S.N.V  HSS, NEDUNGANDA, TRIVANDRUM",A,1,1065
"ST. MARY'S HSS, PATTOM, TRIVANDRUM",A,1,1066
"IQBAL HSS, PERINGAMALA, TRIVANDRUM",A,1,1067
"L.M.S.HSS, CHEMBOOR, TRIVANDRUM",A,1,1068
"NEW  HSS, NELLIMOODU, TRIVANDRUM",A,1,1069
"S.N G. HSS, CHEMPAZHANTHY, TRIVANDRUM",A,1,1070
"S.N.V.  HSS, ANAD, TRIVANDRUM",A,1,1071
"ST JOHNS MODEL HSS,NALANCHIRA,TRIVANDRUM",A,1,1072
"NSS HSS,PALKULANGARA,TRIVANDRUM",A,1,1073
"SN HSS, UZHAMALAKKAL, TRIVANDRUM",A,1,1074
"ST THOMAS HSS,POONTHURA,TRIVANDRUM",A,1,1075
"MUSLIM GIRLS HSS,KANIYAPURAM,TRIVANDRUM",A,1,1076
"MCHSS,KOTTUKALKONAM,TRIVANDRUM",A,1,1077
"SALVATION ARMY HSS,KOWDIAR,TRIVANDRUM",A,1,1078
"PKS HSS, KANJIRAMKULAM, TRIVANDRUM",A,1,1079
"LMS HSS, VATTAPPARA, TRIVANDRUM",A,1,1080
"ST MARY'S HSS,VIZHINJAM,TRIVANDRUM",A,1,1081
"MUSLIM HSS,EDAVA,TRIVANDRUM",A,1,1082
"JANARDHANAPURAM HSS,OTTASEKHARAMANGALAM, TRIVANDRU",A,1,1083
"DVMNNM HSS, MARANALLUR, TRIVANDRUM",A,1,1084
"VTMNSS GIRLS HSS,DHANUVACHAPURAM, TRIVANDRUM",A,1,1085
"ST.THOMAS HSS,AMBOORI,TRIVANDRUM",A,1,1086
"ST XAVIER'S HSS,PEYAD,TRIVANDRUM",A,1,1087
"AM HSS, THIRUMALA, TRIVANDRUM",A,1,1088
"BNVV HSS,THIRUVALLAM,TRIVANDRUM",A,1,1089
"MULAMANA VHSS, VAMANAPURAM, TRIVANDRUM",A,1,1090
"AL- UTH-UMAN ENGLISH MEDIUM HSS, KAZHAKKOOTTAM, TRIVANDRUM",U,1,1091
"TECHNICAL HSS, MUTTADA P.O., TRIVANDRUM-695025",T,1,1092
"BEEMA MAHEEN HSS, BEEMAPALLY, TRIVANDRUM",U,1,1093
"CHRIST NAGAR EM HSS, TRIVANDRUM",U,1,1094
"HOLY ANGELS CONVENT HSS, TRIVANDRUM",U,1,1095
"LAYOLA HSS, SREEKARIYAM, TRIVANDRUM",U,1,1096
"LOURDE MOUNT HSS, VATTAPPARA, TRIVANDRUM",U,1,1097
"MMR HSS, NEERAMANKARA, TRIVANDRUM",U,1,1098
"NAVABHARATHI HSS, ATTINGAL, TRIVANDRUM",U,1,1099
"NIRMALA BHAVAN EM HSS, KAWDIAR, TRIVANDRUM",U,1,1100
"SARVODAYA VIDYALAYA HSS, NALANCHIRA, TRIVANDRUM",U,1,1101
"DARSANA HSS, NEDUMANGADU, TRIVANDRUM",U,1,1102
"ST. MARY'S HSS, KAMUKINKODE, TRIVANDRUM",U,1,1103
"ST.THERESA'S CONVENT GHSS, NEYYATTINKARA, TRIVANDR",U,1,1104
"CARMEL GIRLS HSS, VAZHUTHACAD, TRIVANDRUM",U,1,1105
"ST.GORETTI'S HSS, NALANCHIRA, TRIVANDRUM",U,1,1106
"SSM HSS, KOCHALUMOODU, MUDAPURAM, CHIRAYINKIL, TRI",U,1,1107
"EVANS HSS, PARASALA, TRIVANDRUM",U,1,1108
"NSS HSS, PERUNTHANNI, TRIVANDRUM",U,1,1109
"ST. CHRISOSTEM EM HSS, NELLIMMOODU, TRIVANDRUM",U,1,1110
"SHREE VIDYADHI RAJA VIDYAMANDIR HSS, VELLAYAMBALAM, TRIVANDRUM",U,1,1111
"Sr. ELIZEBETH JOEL CSI EM HSS, ATTINGAL, TRIVANDRU",U,1,1112
"CHINMAYA VIDYALAYA HSS, VAZHUTHACAUD, TRIVANDRUM",U,1,1113
"JYOTHI NILAYAM HSS, KAZHAKKOOTTAM, TRIVANDRUM",U,1,1114
"LITTLE  FLOWER EM HSS, EDAVA, TVM, NEC CLUBBED TO 01028",U,1,1115
"OUR LADY OF MERCY HSS, PUTHUKURISSI, TRIVANDRUM",U,1,1116
"FR. PHILIP'S HSS, NELLIKODU, TRIVANDRUM",U,1,1117
"SREENEELAKANTA VIDYAPITOM, CHENKOTTUKONAM, TVM",U,1,1118
"HOLY TRINITY HSS, ALTHARA, SREEKARYAM, TRIVANDRUM",U,1,1119
"PTM HSS, MARUTHURKONAM, TRIVANDRUM",U,1,1120
"ST. HELEN'S GHSS, LOURDUPURAM, TRIVANDRUM",U,1,1121
"ROSAMISTICA HSS, PULIMKUDY, TRIVANDRUM",U,1,1122
"SAMUEL LMS HSS PARASSALA, TRIVANDRUM",U,1,1123
"VICTORY GIRLS HSS, NEMOM, TRIVANDRUM",U,1,1124
"MANARUL HUDA HSS, PAZHAKUTTY, TRIVANDRUM",U,1,1125
"TECHNICAL HSS, ATTINGAL, TRIVANDRUM",T,1,1126
"P.R.WILLIAM HSS, KATTAKADA, TRIVANDRUM",A,1,1127
"GOVT. HSS, VAKKOM, TRIVANDRUM",G,1,1128
"SNV GOVT. HSS, KADAKKAVOOR, TRIVANDRUM",G,1,1129
"GOVT. GHSS, PEROORKADA, TRIVANDRUM",G,1,1130
"GOVT. VHSS, POOVAR, TRIVANDRUM",G,1,1131
"GOVT. HSS, VILAVOORKAL, TRIVANDRUM",G,1,1132
"GOVT. HSS, AIROORPARA, TRIVANDRUM",G,1,1133
"GOVT. BOYS HSS, KARAMANA, TRIVANDRUM",G,1,1134
"GOVT. VHSS, PARASSALA, TRIVANDRUM",G,1,1135
"GOVT. LVHSS, ARAYOOR, CHENGAL, TRIVANDRUM",G,1,1136
"GOVT. VHSS, ARYANAD, TRIVANDRUM",G,1,1137
"GOVT. HSS, POOVACHAL, TRIVANDRUM",G,1,1138
"GOVT. HSS, ARUVIKKARA, TRIVANDRUM",G,1,1139
"GOVT. HSS, KAZHAKUTTOM, TRIVANDRUM",G,1,1140
"GOVT. HSS, KAVALAYOOR, TRIVANDRUM",G,1,1141
"GOVT. HSS, KAPPIL, TRIVANDRUM",G,1,1142
"GOVT. HSS, MYLACHAL, ARIYANGODE, TRIVANDRUM",G,1,1143
"GOVT. VHSS, VATTIYOORKAVU, TRIVANDRUM",G,1,1144
"GOVT. VHSS, VITHURA, TRIVANDRUM",G,1,1145
"GOVT. HSS FOR GIRLS, KANNIAKULANGARA, TRIVANDRUM",G,1,1146
"GOVT. HSS, POOVATHOOR, TRIVANDRUM",G,1,1147
"GOVT. HSS, AZHOOR, TRIVANDRUM",G,1,1148
"ELAMBA GHSS, TRIVANDRUM",G,1,1149
"THATTATHUMALA GOVT. HSS, TRIVANDRUM",G,1,1150
"GOVT. HSS, KEEZHAROOR, TRIVANDRUM",G,1,1151
"VENGANOOR GOVT. MODEL HSS, TRIVANDRUM",G,1,1152
"GOVT. VHSS, ALAMCODE, TRIVANDRUM",G,1,1153
"GOVT. HSS, PALLICKAL, TRIVANDRUM",G,1,1154
"NSS HSS, M.G.COLLEGE CAMPUS, THIRUVANANTHAPURAM",A,1,1155
"CORDOVA HSS,AMBALATHARA,POONTHURA., THIRUVANANTHAP",U,1,1156
"ST. THOMAS HSS, MUKKOLAKKAL, THIRUVANANTHAPURAM",U,1,1157
"KTCT EMR HSS, KADUVAYIL, THOTTAKKAD, KALLAMBALAM,",U,1,1158
"GEM KNOW MODEL HSS, MEL-VETTOOR, VARKALA, THIRUVAN",U,1,1159
"SREE VIDHYADHI RAJA EM HSS, ATTINGAL, THIRUVANANTHAPURAM",U,1,1160
"SREE VIDHYADHI RAJA VIDYANILAYAM HSS, NEYYATTINKARA, THIRUVANANTHAPURAM",U,1,1161
"SANTHIGIRI VIDYABHAVAN HSS, SANTHIGIRI, THIRUVANAN",U,1,1162
"SRI SATHYA SAI HSS, VELLANAD, TVM",U,1,1163
"SREE  AYYANKALI MEMORIAL GOVT. MODEL RESIDENTIAL SCHOOL, VELLAYANI, THIRUVANANTHAPURAM",G,1,1164
"GOVT BHSS, CHAVARA, KOLLAM",G,2,2001
"AYYANKOYIKKAL GOVT. HSS, CHAVARA, MUKUNDAPURAM, KOLLAM",G,2,2002
"GOVT  HSS, KARUNAGAPPALLY, KOLLAM",G,2,2003
"GOVT MODEL BOYS HSS, THEVALLY, KOLLAM",G,2,2004
"GOVT BOYS HSS, KOTTARAKKARA, KOLLAM",G,2,2005
"GOVT HSS, KULASEKHARAPURAM, KOLLAM",G,2,2006
"GOVT HSS, KUZHIMATHIKAD, KOLLAM",G,2,2007
"GOVT HSS, VELLAMANAL, KOLLAM",G,2,2008
"GOVT HSS, BHOOTHAKULAM, KOLLAM",G,2,2009
"GOVT HSS, PUNALUR, KOLLAM",G,2,2010
"GOVT HSS, VALATHUNGAL, KOLLAM",G,2,2011
"GOVT HSS, VAYALA, KOLLAM",G,2,2012
"GOVT HSS, OTTAKKAL, KOLLAM",G,2,2013
"GOVT HSS, KARUKONE, KOLLAM",G,2,2014
"GOVT HSS, WEST KALLADA, KOLLAM",G,2,2015
"GOVT HSS, VALLIKEEZHU, KOLLAM",G,2,2016
"GOVT  HSS, PANMANAMANAYIL, KOLLAM",G,2,2017
"GOVT HSS, ANJALUMMOODU, KOLLAM",G,2,2018
"GOVT HSS, MANGAD, KOLLAM",G,2,2019
"GHSS KUMMIL, KOLLAM",G,2,2020
"GOVT FISHERIES HSS,KUZHITHURA,ALAPPAT,KOLLAM",G,2,2021
"GOVT HSS, SOORAANAD, KOLLAM",G,2,2022
"GOVT MG HSS,CHADAYAMANGALAM,KOLLAM",G,2,2023
"GOVT HSS,ANCHAL WEST,KOLLAM",G,2,2024
"GOVT HSS,SASTHAMKOTTA,KOLLAM",G,2,2025
"GOVT HSS, PALLIMAN, KOLLAM",G,2,2026
"MEENAKSHI VILASOM HSS,PEROOR,KOLLAM",G,2,2027
"GOVT VHSS,PATTAZHI,KOLLAM",G,2,2028
"MOHAMMEDEN GOVT HSS,EDATHARA,KOLLAM",G,2,2029
"GOVT HSS, KULATHUPUZHA, KOLLAM",G,2,2030
"GOVT MODEL HSS,VETTIKKAVALA,KOLLAM",G,2,2031
"GOVT GIRLS HSS,THAZHAVA,KOLLAM",G,2,2032
"GOVT HSS,CHATHANNOOR,KOLLAM",G,2,2033
"GOVT HSS,PUTHUR,KOLLAM",G,2,2034
"GOVT HSS,PARAVUR,KOLLAM",G,2,2035
"GUHANANDAPURAM HSS, CHAVARA SOUTH, KOLLAM",A,2,2036
"AMRUTHA SANSKRIT HSS, PARIPPALLY, KOLLAM",A,2,2037
"MILADE SHERIF HSS, MYNAGAPPALLY, KOLLAM",A,2,2038
"ODANAVATTOM KRGPM HSS, ODANAVATTOM, KOLLAM",A,2,2039
"V V HSS POREDAM, KOLLAM",A,2,2040
"SN HSS CHITHARA, KOLLAM",A,2,2041
"ST. GREGORIOUS  HSS, KOTTARAKKARA, KOLLAM",A,2,2042
"S.M  HSS, KOTTARA, KOLLAM",A,2,2043
"S.M  HSS, PATHARAM, KOLLAM",A,2,2044
"B.J.S.M  MADATHIL HSS, THAZHAVA, KOLLAM",A,2,2045
"S.V  HSS, CLAPPANA, KOLLAM",A,2,2046
"AT. ANTONY'S   HSS, KANJIRAKODE, KOLLAM",A,2,2047
"S.N.D.P.Y  HSS, NEERAVIL, KOLLAM",A,2,2048
"M.S.M  HSS, CHATHINAMKULAM, KOLLAM",A,2,2049
"N.S.S  HSS, CHATHANNOR, KOLLAM",A,2,2050
"S.N.S.M  HSS, ELAMPALLOOR, KOLLAM",A,2,2051
"M.K.L.M. HSS, KANNANALLOOR, KOLLAM",A,2,2052
"CP HSS KUTTIKKADU, KOLLAM",A,2,2053
"CHEMPAKASSERY HSS, POOTHAKULAM, KOLLAM",A,2,2054
"IRUMPANANGADU HSS,  IRUMPANANGADU, KOLLAM",A,2,2055
"KRIST RAJ HSS, KOLLAM",A,2,2056
"ST.STEPHEN'S HSS, PATHANAPURAM, KOLLAM",A,2,2057
"EVHSS,NEDUVATHUR,KOLLAM",A,2,2058
"DR CT EAPEN MEMORIAL HSS,SASTHAMCOTTA, KOLLAM",A,2,2059
"EZHIPPURAM HSS, PARIPPALLI, KOLLAM",A,2,2060
"MAYYANADU HSS,MAYYANADU,KOLLAM",A,2,2061
"VIMALA HRIDAYA GHSS,KOLLAM",A,2,2062
"AKM HSS, MAILAPUR, ERAVIPURAM, KOLLAM",A,2,2063
"THADIKAD HSS, THADIKAD, ANCHAL, KOLLAM",A,2,2064
"ST GORETTI HSS,PUNALUR,KOLLAM",A,2,2065
"POOVATHOOR OVNSS HSS, KOTTARAKKARA, KOLLAM",A,2,2066
"ST ALOSIOUS HSS,KOLLAM",A,2,2067
"NSS HSS,PRAKKULAM,KOLLAM",A,2,2068
"SIVARAM NSS HSS, KARIKODE, KOLLAM",A,2,2069
"V.G.S.S AMBIKODAYAM  HSS , KUNNATHOOR EAST P.O, KO",A,2,2070
"HSS BOYS PUNALUR, KOLLAM",A,2,2071
"CVKM HSS,EAST KALLADA,KOLLAM",A,2,2072
"KPMEM HSS CHERIYAVELINELLOOR, KOLLAM",A,2,2073
"MM HSS,UPPODU,EAST KALLADA,KOLLAM",A,2,2074
"BOYS HSS, KARUNAGAPPALLY, KOLLAM",A,2,2075
"MM HSS NILAMEL, KOLLAM",A,2,2076
"TKM HSS,KARIKKODE,KOLLAM",A,2,2077
"SREE NARAYANA TRUST HSS,KOLLAM",A,2,2078
"SVM MHSS, VENDAR, KOLLAM",A,2,2079
"CSI VOCATIONAL HS&HSS FOR DEAF,VALAKOM,KOLLAM",A,2,2080
